Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]"
Population density (people per sq. km of land area),"EN.POP.DNST","Jamaica","JAM","219.748568790397","240.79649122807","259.456602031394","259.996675900277","260.39676823638","260.689843028624","261.379409048938","262.020498614958","262.155493998153","262.214773776547","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Japan","JPN","338.667032364235","347.991769547325","348.631001371742","348.345679012346","347.903978052126","347.415637860082","346.395061728395","344.80546776406","343.278433470508","341.54455749932","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Jordan","JOR","41.0461015412511","61.0487873980054","112.70969813021","115.276255913494","117.84530299617","120.187073450909","122.364439038674","124.629547041467","126.768283893056","128.828670856139","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Kazakhstan","KAZ","..","5.74178723561877","6.80208912101345","6.90889024706449","7.01290032225803","7.11544060451161","7.21640071119013","7.31325813979331","7.42105011667963","7.53050487091158","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Kenya","KEN","40.223233299364","53.8406894612925","84.0057771361452","85.5601194522199","87.019449386981","88.4453894988127","89.8940686683206","91.6187594501618","93.3976149483117","95.2681371231706","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Kiribati","KIR","92.4135802469136","109.398765432099","146.269135802469","148.487654320988","150.720987654321","152.988888888889","155.677777777778","158.49012345679","161.072839506173","163.617283950617","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Korea, Dem. People's Rep.","PRK","175.335412341168","196.544390000831","213.423519641226","214.414990449298","215.357088281704","216.241441740719","217.060975002076","217.860094676522","218.659953492235","219.402076239515","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Korea, Rep.","KOR","444.425492432096","487.332687124197","525.370072521002","526.734806686494","528.969011484824","530.377274590164","531.109006147541","530.425604508197","529.43205942623","529.842407786885","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Kosovo","XKX","..","..","..","..","..","..","..","..","..","..","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Kuwait","KWT","94.5465207631874","109.691863075196","224.696745230079","233.1544332211","242.621492704826","249.288215488215","246.928563411897","244.717452300786","257.555723905724","272.358024691358","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Kyrgyz Republic","KGZ","..","25.5389051094891","32.1967570385819","32.8816266944734","33.5979092805005","34.3598070907195","35.0708863399374","35.7206673618352","36.3671532846715","37.0164233576642","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Lao PDR","LAO","18.6826473136915","23.5321143847487","29.934150779896","30.4079159445407","30.8840771230503","31.3589081455806","31.8307322357019","32.2928682842288","32.7513301559792","33.2105415944541","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Latvia","LVA","..","38.0469892490398","31.4901409356067","31.2123033409935","30.9700612274415","30.755491989008","30.5391129680219","30.2826610959344","30.2005945685361","30.2701269484172","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Lebanon","LBN","351.434506353861","423.200391006843","618.089931573803","602.163049853372","584.957869012708","566.431476050831","557.419159335288","558.956207233627","561.533626588465","564.368817204301","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Lesotho","LSO","59.6079051383399","66.0050395256917","70.1720026350461","71.0510540184453","71.9236824769433","72.7735507246377","73.6405467720685","74.4908432147563","75.3000658761528","76.135441370224","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Liberia","LBR","23.0862437707641","30.3998857973422","49.3730066445183","50.3418293189369","51.3364410299003","52.3642130398671","53.462032807309","54.60260589701","55.7858596345515","57.0289763289037","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Libya","LBY","2.52636427702695","3.01500448980984","3.76923855098492","3.8298475737977","3.89252588744786","3.95048308080521","4.00411414346932","4.05513656978528","4.10550768950976","4.15202780272117","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Liechtenstein","LIE","179.6375","204.03125","235.725","237.2625","239.0375","241.01875","243.13125","244.8875","246.83125","249.0375","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Lithuania","LTU","..","55.8317804722399","45.9328405861882","45.3798470650213","45.0135717707169","44.8912328329607","44.8797349089748","44.8551349624661","45.2309596830873","45.87196485623","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Luxembourg","LUX","..","169.472433053922","226.072263698018","231.635372078028","236.146609386046","240.827591028798","244.874264894386","248.62068161867","253.685433061691","258.862052624628","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Macao SAR, China","MAC","16747.5","21530","21393.4426229508","21051.9480519481","20027.3556231003","20425.5319148936","20832.8267477204","20681.8181818182","20524.2424242424","20569.696969697","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Madagascar","MDG","20.7305413213193","28.4010351824466","44.8606943966999","46.0439584049502","47.2583808869027","48.5038741835682","49.7654795462358","51.0331436919904","52.3156772086628","53.6196837401169","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Malawi","MWI","101.250021213407","120.024840899448","186.229730589733","191.341907085278","196.521860415783","201.800509121765","207.190156979211","212.635320322444","218.166397963513","223.84898175647","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Malaysia","MYS","54.2784081570537","69.9066078222493","96.7575254907929","98.4801217470705","100.170345457312","101.782364936844","103.148860143053","104.344541165728","105.601865773855","106.913096941105","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Maldives","MDV","749.206666666667","940.063333333333","1477.69333333333","1527.62333333333","1576.99666666667","1625.77","1673.72666666667","1720.51333333333","1747.02","1765.08053691275","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Mali","MLI","7.5224596169449","9.47335251067457","15.7281152935199","16.2376441373884","16.7531531974529","17.2664953818668","17.7954548062187","18.348478515641","18.9090551471492","19.4798572353486","..",".."
